,university_per_10k,tertiary_industry_pct,subway_per_10k,poi_per_10k,job_per_10k,avg_rent,rent_income_ratio,avg_salary,gdp_per_capita,disposable_income
university_per_10k,1.0,0.15398409205585842,-0.10503786381795849,-0.10341832743954538,-0.2562248655322293,-0.21784628183137444,-0.31846492001310056,-0.06482310684655154,-0.021650240617041787,-0.08911136887770289
tertiary_industry_pct,0.15398409205585842,1.0,0.10750322055082533,0.3321905404929499,0.3703010694586874,0.6436351178158151,0.49685831755215487,0.7474616791040934,0.30611642450437415,0.4869580295006884
subway_per_10k,-0.1050378638179585,0.1075032205508253,1.0,0.8520105714849467,0.840866780659036,0.6102402987602907,0.710817624506891,0.4628004756138749,0.7068700088928643,0.6523384039240107
poi_per_10k,-0.10341832743954535,0.3321905404929499,0.8520105714849467,1.0,0.8685294992267366,0.691491334788556,0.7720731325222796,0.5526135775856648,0.7180424766542792,0.7787308403597039
job_per_10k,-0.25622486553222934,0.3703010694586874,0.840866780659036,0.8685294992267366,1.0,0.8596580237975224,0.9254025697401519,0.6857349376849503,0.7304789795906078,0.7595679269951904
avg_rent,-0.2178462818313745,0.6436351178158151,0.6102402987602906,0.691491334788556,0.8596580237975225,1.0,0.9556109166940323,0.9209192775968899,0.7216862000644685,0.8390939858347387
rent_income_ratio,-0.31846492001310056,0.49685831755215487,0.7108176245068911,0.7720731325222797,0.925402569740152,0.9556109166940325,1.0,0.7765693776453965,0.6518206284650675,0.7858345215725813
avg_salary,-0.06482310684655151,0.7474616791040936,0.4628004756138749,0.5526135775856648,0.6857349376849503,0.9209192775968899,0.7765693776453965,1.0,0.7785784877070623,0.8533572211661455
gdp_per_capita,-0.021650240617041783,0.3061164245043741,0.7068700088928642,0.7180424766542792,0.7304789795906078,0.7216862000644685,0.6518206284650675,0.7785784877070622,1.0,0.9314964318412498
disposable_income,-0.08911136887770298,0.48695802950068845,0.6523384039240107,0.7787308403597039,0.7595679269951904,0.8390939858347387,0.7858345215725814,0.8533572211661455,0.93149643184125,1.0
